iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53941	1.20698e+006	0	0	0	0	0	0	0	1.20698e+006	0	0	0
53942	0	0	0	0	0	0	0	0	0	0	0	0
53943	0	0	0	0	0	0	0	0	0	0	0	0
53944	0	0	0	0	0	0	0	0	0	0	0	0
53945	0	0	0	0	0	0	0	0	0	0	0	0
53946	0	0	0	0	0	0	0	0	0	0	0	0
53947	0	0	0	0	0	0	0	0	0	0	0	0
53948	312018	0	0	0	0	0	0	0	312018	0	0	0
53949	1.70364e+006	0	0	0	0	0	0	0	1.70364e+006	0	0	0
53950	1.5433e+006	0	0	0	0	0	0	0	1.5433e+006	0	0	0
53951	220588	0	0	0	0	0	0	0	220588	0	0	0
53952	0	0	0	0	0	0	0	0	0	0	0	0
53953	0	0	0	0	0	0	0	0	0	0	0	0
53954	0	0	0	0	0	0	0	0	0	0	0	0
53955	0	0	0	0	0	0	0	0	0	0	0	0
53956	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53957	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53958	0	0	0	0	0	0	0	0	0	0	0	0
53959	213579	0	0	0	0	0	0	0	213579	0	0	0
53960	0	0	0	0	0	0	0	0	0	0	0	0
53961	0	0	0	0	0	0	0	0	0	0	0	0
53962	37784.4	0	0	0	0	0	0	0	37784.4	0	0	0
53963	0	0	0	0	0	0	0	0	0	0	0	0
53964	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53965	201046	0	0	0	0	0	0	0	201046	0	0	0
53966	122697	0	0	0	0	0	0	0	122697	0	0	0
53967	0	0	0	0	0	0	0	0	0	0	0	0
53968	0	0	0	0	0	0	0	0	0	0	0	0
53969	569748	0	0	0	0	0	0	0	569748	0	0	0
53970	0	0	0	0	0	0	0	0	0	0	0	0
53971	1.19529e+006	0	0	0	0	0	0	0	1.19529e+006	0	0	0
53972	0	0	0	0	0	0	0	0	0	0	0	0
53973	0	0	0	0	0	0	0	0	0	0	0	0
53974	1.52314e+006	0	0	0	0	0	0	0	1.52314e+006	0	0	0
53975	60571.4	0	0	60571.4	0	0	0	0	0	0	0	0
53976	1.70108e+006	0	0	0	0	0	0	0	1.70108e+006	0	0	0
53977	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53978	570880	0	0	0	0	0	0	0	570880	0	0	0
53979	0	0	0	0	0	0	0	0	0	0	0	0
53980	0	0	0	0	0	0	0	0	0	0	0	0
53981	759461	0	0	0	0	0	0	0	759461	0	0	0
53982	309152	0	0	0	0	0	0	0	309152	0	0	0
53983	0	0	0	0	0	0	0	0	0	0	0	0
53984	2.75447e+006	0	0	0	0	0	0	0	2.75447e+006	0	0	0
53985	3.40633e+006	0	0	0	0	0	0	0	3.40633e+006	0	0	0
53986	0	0	0	0	0	0	0	0	0	0	0	0
